"filename", "language", "JSON", "Markdown", "TypeScript", "HTML", "JSON with Comments", "TypeScript JSX", "PostCSS", "JavaScript", "Skill", "comment", "blank", "total"
"/home/jinwenhuang/work/Inkspire/.agents/agents/verifier.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/home/jinwenhuang/work/Inkspire/.agents/rules/00-global-rule-config.md", "Markdown", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 29, 105
"/home/jinwenhuang/work/Inkspire/.agents/rules/01-global-personality.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 12, 44
"/home/jinwenhuang/work/Inkspire/.agents/rules/02-global-response-format.md", "Markdown", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 30, 95
"/home/jinwenhuang/work/Inkspire/.agents/rules/03-global-skill-config.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24
"/home/jinwenhuang/work/Inkspire/.agents/skills/update-project-rules/SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 21, 127
"/home/jinwenhuang/work/Inkspire/.fulltest-data/library.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/jinwenhuang/work/Inkspire/client/index.html", "HTML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"/home/jinwenhuang/work/Inkspire/client/package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/home/jinwenhuang/work/Inkspire/client/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 13, 215
"/home/jinwenhuang/work/Inkspire/client/src/api.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 18, 161
"/home/jinwenhuang/work/Inkspire/client/src/components/Experts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"/home/jinwenhuang/work/Inkspire/client/src/components/Library.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 7, 79
"/home/jinwenhuang/work/Inkspire/client/src/components/ParticleBackdrop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 12, 68
"/home/jinwenhuang/work/Inkspire/client/src/components/ProductionDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 10, 155
"/home/jinwenhuang/work/Inkspire/client/src/components/ResultView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 7, 121
